filename,filepath,algorithm,original_size,compressed_size,compression_ratio,compression_time,speed_mbps
bible.txt,data\academic_corpora\large\bible.txt,brotli,4047392,889339,4.551011481561025,6.208472967147827,0.621713877027858
E.coli,data\academic_corpora\large\E.coli,gzip,4638690,1299729,3.5689670692890596,3.3265023231506348,1.3298651511478845
E.coli,data\academic_corpora\large\E.coli,bzip2,4638690,1251004,3.707973755479599,0.2911508083343506,15.19418592748787
E.coli,data\academic_corpora\large\E.coli,lzma,4638690,1186488,3.909597062928576,3.252866268157959,1.359969685220299
E.coli,data\academic_corpora\large\E.coli,zstd,4638690,1151083,4.029848412321266,2.8455259799957275,1.5546508961331464
E.coli,data\academic_corpora\large\E.coli,brotli,4638690,1138114,4.0757692111686525,9.295587062835693,0.4759031877025949
world192.txt,data\academic_corpora\large\world192.txt,gzip,2473400,721957,3.4259658123683265,0.1172037124633789,20.12579639861022
world192.txt,data\academic_corpora\large\world192.txt,bzip2,2473400,489583,5.05205450352647,0.13924908638000488,16.939558567458775
world192.txt,data\academic_corpora\large\world192.txt,lzma,2473400,487492,5.0737242867575265,0.6077530384063721,3.881211454548094
world192.txt,data\academic_corpora\large\world192.txt,zstd,2473400,503855,4.908951980232408,0.8328652381896973,2.8321725364913877
world192.txt,data\academic_corpora\large\world192.txt,brotli,2473400,474913,5.208111801529965,3.341322660446167,0.7059533884956342
pi.txt,data\academic_corpora\miscellaneous\pi.txt,gzip,1000000,470462,2.125570184201912,0.0744943618774414,12.80196638203628
pi.txt,data\academic_corpora\miscellaneous\pi.txt,bzip2,1000000,431671,2.316579061368496,0.06623721122741699,14.39786335707781
pi.txt,data\academic_corpora\miscellaneous\pi.txt,lzma,1000000,437952,2.2833552535437676,0.2398533821105957,3.9760719987117525
pi.txt,data\academic_corpora\miscellaneous\pi.txt,zstd,1000000,426148,2.346602588771976,0.21802759170532227,4.374099208944158
pi.txt,data\academic_corpora\miscellaneous\pi.txt,brotli,1000000,424914,2.3534173974027683,0.6926660537719727,1.37681688197788
